gene,logFC,pvalue
BIRC3,1.6043450478747214,2.401235713119717e-05
SFSWAP,-2.588379988552428,2.5805980155658945e-05
FUT4,0.8760907280848027,2.7168320711359028e-05
ADPGK,0.5522674597435593,2.733522156309874e-05
GLYR1,-2.2702257054476584,2.798344213486548e-05
JUN,-3.2815426314154363,2.966678849172373e-05
EIF4G1,-1.3192887330011764,3.139598153522064e-05
TNKS2,-1.7160272379124306,3.192903593896186e-05
AP5M1,0.5231158004417598,3.2316872953497574e-05
CD27,2.2655295416340726,3.2827567744313594e-05
ADD1,-1.151025843111725,3.355535330882832e-05
TGFBRAP1,-2.1862140300348365,3.399272098732435e-05
EPN1,-1.3008469964414149,3.563324226422026e-05
GTF2F1,-1.637877661981248,3.669382882089936e-05
UBC,-0.3547269618075308,3.673650361577653e-05
WISP3,1.9119372085504125,3.954336517234251e-05
SLC4A1AP,0.4148364341111676,4.035480919489332e-05
CDH1,2.660946890544968,4.07838373969907e-05
NFE2L3,1.1180993218480175,4.141700629271928e-05
EPRS,-2.4908542659360657,4.158699482539517e-05
ACAP1,3.1025320866463346,4.194930695459454e-05
GVINP1,1.1145923078262214,4.414820435347167e-05
FBXW4P1,-2.146263895190494,4.796987760732729e-05
DDR2,-1.082523126590733,4.883450024938019e-05
APBA2,2.1625581028510634,4.9072438255844064e-05
GRK1,-1.2469701258116563,5.07975297189036e-05
CYTH1,-1.437677447617637,5.259122462253476e-05
PRODH2,-1.0844035376810917,5.457124141993156e-05
TXNIP,-2.1594576537601124,5.498006163714911e-05
CAMKK2,-2.192926831915381,5.504280182867816e-05
VOPP1,1.069936981975422,5.50487345321672e-05
NPHP4,-1.1428376545068986,5.559301061522546e-05
ZDHHC6,0.5883403948180703,5.715133701328838e-05
SRRT,-2.373465296375051,5.755190521391652e-05
SF3B1,-1.0351267331736018,5.8829192959704064e-05
CNTRL,0.6080866334132091,5.8837799529507134e-05
PRKX,1.0427047262721807,5.987281096703607e-05
LSM14A,-0.612678434482568,6.145162631948928e-05
CXCL11,3.4502086937939302,6.168625789449656e-05
POLR2E,-0.7844092641292466,6.348099415287937e-05
EEF1D,-0.6667438188597687,6.385121697541708e-05
CCDC88C,2.4163428382677146,6.402417153674573e-05
IKBKB,-2.30771867226117,6.498976348757213e-05
LUC7L3,-1.1022750501153291,6.613317098081463e-05
TRIM22,0.8206505807192901,6.645737499101345e-05
ADAM28,4.03475336788801,6.871145036904575e-05
MEG3,-1.6571778334364309,6.975909172042403e-05
POLB,0.7051612195462162,6.985986615373626e-05
PTTG1,0.9692804927166474,7.10338920154913e-05
TRRAP,0.8515275355892875,7.289478088643197e-05
HES1,-1.6560195445618024,7.435526418692814e-05
FAS,1.335695282613849,7.604602566118148e-05
AKT2,-2.2283324551957016,7.67395651345086e-05
CYFIP2,1.5667464060830216,7.68437066369344e-05
