gene,logFC,pvalue
STAT6,-0.6340587688168249,0.0005880394101115917
FAM69A,0.7615062172117355,0.0005967081790911447
PLEKHA1,-1.265526922025808,0.000597624957409972
TMSB10,0.4061401152276982,0.0005992417272269972
KCNF1,-1.56388640696548,0.0006005596179728602
RAB29,0.5256466760536718,0.0006042735282387061
RPS21,-1.263696337931158,0.0006069139359964042
UBXN1,-1.2236850426911845,0.0006083023030015082
ADORA2A,0.8271346724484019,0.0006116932211758684
NBPF10,-1.9226005029914166,0.0006272503033948054
LOC730101,1.0379127026302761,0.0006315311872035767
CCL18,2.0381572072856233,0.0006341140389286202
ZBTB5,0.2967363720768965,0.0006370292115337297
SPCS2,0.4806950907074441,0.0006373985301074679
EGR1,-2.1717219454725054,0.000640074856761865
NCOR1,0.42980975971515,0.0006406540583945145
SLC9A5,-1.399635869269387,0.0006480218700265519
SSTR3,-0.9181205047159553,0.0006547016733431174
IGLV1-44,4.357119587684936,0.0006586213368481062
SEMA4G,-0.9712552983482254,0.0006659038943601768
PDCD1LG2,2.0885779751222593,0.0006690562173293732
GBP2,0.5445438504572557,0.0006728966471670226
CTC-425F1.4,-0.7490363004907605,0.0006735807043550378
CDCA4,-0.3778967909376352,0.0006806412488128751
MAFK,-1.501301056816803,0.0006893869579914814
AAMP,-0.4455205756636893,0.0006913836542579373
EDC3,-0.6163844315169014,0.0006969018476012158
MTCH1,0.1551056954484462,0.0007063735130314656
WDFY3,-0.44873038584673175,0.0007203070082899058
LAP3,1.113296942926807,0.0007269800189087208
STAU2,0.5623117514999167,0.0007289473027366657
SLC25A36,-0.9080321255046702,0.0007374146430975109
TNIP1,0.4946571434744076,0.0007505357268207612
FOXC1,-0.8676120619860512,0.0007643484079045626
AV8S2A1N1T,1.4376854117512803,0.0007667678566683656
PARP1,0.3046855378900837,0.0007696402291019704
ASH1L,-0.4563432701018506,0.0007699784549494433
MED20,-1.0764094004705527,0.0007703034794365944
CSNK1G2,-1.1901117444192248,0.0007711259293253546
HNRNPA0,-0.7539779283093484,0.00077771576040694
CRELD2,0.8897923077770322,0.0007791918118035393
SFRP1,-2.0153753141746584,0.0007831016732951429
TNPO1,-0.7556277283863171,0.0007845556269051751
CD6,1.2127622919373184,0.0007878521873916317
CTCF,0.33415142330504644,0.000788025986396336
HSP90AA1,-0.6183643909660717,0.0007965222423235397
SLC26A1,-0.7263468195161087,0.0007967354485879913
JUNB,-1.6165741286856878,0.0008002941912513432
CRYM,-0.8718068992054686,0.0008004155215252095
PARVB,-1.8281510685093307,0.0008008063001299071
CDC27,-0.6526280172560659,0.0008118925848421294
ATP6V1G2-DDX39B,-1.500600925405747,0.0008153582619066175
ASH2L,0.4219503518685137,0.0008210181882628082
ABCC4,0.9688530897645471,0.0008214844919846709
IFNA8,1.6495246715574485,0.0008222002027827507
MAT2B,0.322356971803746,0.0008232968557380662
ENO1,-1.2887719964304534,0.00082400683561893
CEBPZ,-0.7709301365490475,0.0008253932962685932
ZBTB17,-0.9768020887056172,0.0008318348065012124
BRINP1,-0.8494672774336305,0.0008335359733423671
STAT5B,-0.7025707571839579,0.0008398035367255964
CYTIP,1.1413615778860837,0.0008423837348057852
LILRA2,-1.163099889655137,0.0008437861685070346
SLC1A5,-0.6859809934588785,0.00084509658049429
PSG2,1.2324307379789605,0.0008551123615687116
SLC26A10,-0.8236151189976262,0.0008630104652403117
SRRM1,-0.726270500649596,0.0008669859146491041
IP6K1,-0.5374448613848344,0.0008716837340540419
NSD1,0.6232640837205574,0.0008780849957470263
POT1,0.6818993341078237,0.0008804689608513835
MSH2,0.5938213704235142,0.0008857798245989418
KIF25,-1.5794258003171437,0.0008935411730091592
IL32,2.751634557342948,0.0009000389687947561
FUT8,1.0009939088080442,0.0009080767219856815
TCF25,-0.8284793535985511,0.0009089100297627065
STAMBP,0.3073810690695158,0.0009120402302462835
GADD45B,-1.9810147526908555,0.0009154998574995776
BLNK,1.2842669286329453,0.0009163029327221186
TMEM259,-2.583796486707079,0.0009174927196054565
MAPK8,-1.1834113862810467,0.0009275561158295435
RPS10,-0.47183123434077245,0.0009275725201265643
DCAF16,-0.601442056531317,0.0009370919817031937
RAB8A,0.49422494810369955,0.0009387593092350396
ZNF652,0.5795456660988005,0.0009391786681064773
MYBL2,1.3669633571482045,0.0009447120733205034
ISG20,3.1533261572052984,0.0009463121404621977
CMAS,0.5950270050525104,0.0009507476910080992
PTPN12,-1.8225516271557947,0.0009537953079805652
CCR2,1.3640270329134383,0.0009579235627033229
RYR1,1.4085637523399228,0.0009643826860718529
ADM2,-1.4820091518764782,0.0009667668043566782
PNOC,2.1672816110994804,0.0009673784319883502
TRAC,2.056767052124175,0.0009747226616165462
CCDC47,-0.7565147840517294,0.0009758055883266555
TCTN2,-0.4403653744398186,0.0009928069159738854
CCR5,1.371104392801616,0.0009965539058750623
SEMA4D,1.730381784328472,0.0009993434098338266
TRIM46,-1.5243866576277658,0.0010001093969050265
SARM1,1.193647749344434,0.00100327460512146
TPK1,0.5839230490476268,0.0010097148892146556
KCNAB2,-1.4796656302431508,0.0010099689151043252
AGA,0.969931008313849,0.0010111454231214083
EEF2,-0.37807633022808496,0.0010142712367647109
SORBS3,-1.2299492007922659,0.0010207030840711977
HAUS4,0.6564578369241438,0.0010238502046464035
SRSF4,-0.35181812679575586,0.0010247019642314861
HERC6,0.8749118816405339,0.0010335974734106248
UBL3,0.709519759480278,0.0010344118195281422
CHP1,-0.8596097040769433,0.0010366330382295115
PLEKHO1,1.0248694549968267,0.0010411655204555137
RAD50,-0.649682291426398,0.0010487088131179822
LLGL2,0.6941311101401162,0.0010597450219034699
TAF15,-0.5738354238247734,0.0010696099731761389
CTDSP2,-0.5560665095890922,0.0010770923554531517
ATG4A,0.5294546721880664,0.0010786419847243177
NAT1,0.5102751439846251,0.001088340752826738
KNOP1,-0.977291141400209,0.0010940659179352152
LOC101928717,-1.6380805542813381,0.0010945849314120829
ADCY6,-0.5576362617637134,0.001104325658293193
EXTL3,-0.8640049586823091,0.0011067136902205353
SRRM2,-1.7117074935030203,0.0011109561665461345
SPG11,0.5055263145080318,0.00111188273815933
ANKHD1,-0.48105788921889214,0.0011209951139518903
BTN2A1,0.549613653797163,0.001124472556778392
RUNDC3A,-1.4893112081735485,0.001126853532930214
MAP7D3,-0.7005149957369943,0.0011285536402337892
TREML2,1.7136573628294363,0.0011301938778807243
RNF170,0.7024927047259233,0.00113516420116218
CEP170B,-0.622046159137227,0.0011354378618542657
MTMR3,-1.4899726796486252,0.0011407125753628998
FLVCR2,0.6382118434795245,0.0011432150004131124
MOXD1,1.0215203055900055,0.0011442144105997163
SLC6A11,-1.2748918879072315,0.001150385294075929
APEX1,-0.36177696170781637,0.0011520598336548567
TM9SF4,-0.6385993165694863,0.0011577329686749305
RAPGEF1,-1.5972769953143509,0.0011759447179278018
HPCA,-0.7905999103123809,0.0011776621544057318
