gene,logFC,pvalue
FPGT,0.670004095770186,0.0014068710298871
RNF111,0.3598617314685572,0.0014102627765137
APEX1,-0.3648305495519555,0.0014175113424792
GBP2,0.528904410540731,0.0014254998691398
MZB1,3.5612876567969085,0.0014283064613424
CCDC47,-0.7252243273405394,0.0014298133961692
ATG4A,0.5135066048087698,0.0014322011396628
ZBTB17,-0.9343141220440964,0.0014384757933559
TREML2,1.6760249569177337,0.0014403018213243
RNF125,1.0614420452506774,0.0014426920879408
MYBL2,1.3215098073208278,0.0014499513983285
EXTL3,-0.7420662494658048,0.00145783851838
PARVB,-1.783494685931211,0.0014671610683911
TCTN2,-0.4504074922269003,0.0014711924306145
CTNNB1,-0.901438980112145,0.001484292989365
CRYM,-0.8683592578206261,0.0014959693308719
UBXN1,-1.129759774378548,0.0014971796128359
GNRH2,-0.9313133998058004,0.0014988387235292
DCK,0.7200587125500464,0.0014998569854247
C17ORF75,2.5283236736960464,0.0015053822554104
CYTIP,1.1165541532781678,0.0015067806879125
MAN2A1,0.7052981952433424,0.0015102607468072
RYR1,1.3719069079709092,0.0015188441666741
SIN3B,-0.4898046250529821,0.0015259398227799
SRSF4,-0.3397739367394052,0.0015328777763304
TAF15,-0.5913065925246865,0.0015433345051772
PLA2G2D,3.622572308721545,0.0015583970755379
RP1-6P5.2,-0.7062773409467971,0.0015589011165047
SMARCC1,-0.6974239436139946,0.0015591324361668
AKAP8,-0.4659008700423293,0.0015652369983173
OPTN,0.9458136483401364,0.0015652788186581
PARL,0.5303092335368174,0.0015686243594401
SEMA4D,1.7023115351972289,0.0015723087487665
BTN2A1,0.5250292598956925,0.001578926632
RPS21,-1.2341093005031665,0.0015803359900429
KCNAB2,-1.4408001388892373,0.0016001092159332
HSP90AA1,-0.5846331457587208,0.0016013371377392
BEGAIN,-1.016511569740694,0.0016220118957772
INSIG2,1.0179096500010534,0.0016225110110937
CEBPZ,-0.6951755579764267,0.0016229499865202
SPCS2,0.4448181863087761,0.0016255240534059
CHP1,-0.8775467799507988,0.0016273511488547
ZNF652,0.5513142516361658,0.0016370980193762
B4GALT1,-1.7598759704900973,0.0016530742151565
DCAF16,-0.5621876607343301,0.0016558661821951
ZFYVE9,-0.5062574637725632,0.0016724659018084
INSL6,-1.044858947806678,0.001679620698352
ALAS1,0.6282611984206738,0.0016831338901317
APOBEC3G,0.9733342465401932,0.0017034272167649
SPG11,0.4809467312241668,0.0017081530772069
SAMD9,1.119853601331684,0.0017122403348557
RABIF,0.7556665396102424,0.0017394989450517
DDX60,1.2371382834904008,0.0017447088879206
SPAST,0.5728872524216158,0.001749648087568
SMARCD3,-0.4887788842065612,0.0017727706539029
ZNF107,0.8624582385715405,0.0017731042116166
ARHGEF3,0.7377868241280794,0.0017738230717621
TRIM68,0.5316075540305878,0.0017788178858423
NDUFS3,0.2951410904967204,0.0017913352343823
TCF25,-0.7635336685120144,0.0018012201391024
DIO1,0.8212196435530679,0.0018026345687974
TRAC,2.0500640132130528,0.0018037008841261
CLASRP,-0.4704539393474327,0.0018095830062459
SLC26A1,-0.7116562987454538,0.0018164316522687
HRH3,-0.7821396078779408,0.0018409251157059
RABAC1,0.4884312936008577,0.0018504114779385
TPSAB1,-1.8286345851146475,0.001854685571841
SLC25A36,-0.8498745113094461,0.0018601465553017
NEFM,-1.5306012191042964,0.0018601538534052
RRP1B,-1.1843927985981937,0.0018698908370454
CCL5,2.7938606987692136,0.0018839427761111
IL13,-1.181311203713948,0.0018923862625639
TTC30A,1.0100461731290968,0.0018962865374761
BLVRA,0.7339436330808304,0.0019037676290846
ST8SIA1,1.8172887514260152,0.001917831034099
SNX10,1.071029100089559,0.0019212032279265
CD6,1.1482154908485231,0.001931242158697
TDRD7,0.4318397513481748,0.0019401032185149
THNSL2,-0.5350521878185486,0.0019619909708525
SPOP,0.4431333203682079,0.0019665405883516
EIF3B,-0.5880943550829478,0.0019697842266707
PCBP2,-1.2211903607042238,0.0019717520399087
